Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.024,,327272,Saudi Arabia,74,,121382,"$214,572,800,000",0.04,$384,,0.018,0.1,,75,72,0.3,1,0.359,0.608,0.033,22852333,0.805,"$3,418,000,000","$4,165,000,000"
0.028,,54286,Syrian Arab Republic,43,,16543,"$21,828,144,686",0.051,$60,,0.018,0,0.075,76,72,0.1,1,0.396,0.57,0.034,17298476,0.53,"$877,000,000","$734,000,000"
0.016,,106842,United Arab Emirates,19,,40190,"$124,346,361,619",0.026,$968,,0.009,0.3,,76,74,0.9,1,0.234,0.756,0.01,3369254,0.815,"$1,438,000,000","$3,956,000,000"
0.037,,17305,"Yemen, Rep.",72,,5667,"$11,777,768,087",0.05,$35,,0.061,0,0.18,63,60,0,1,0.47,0.503,0.027,19081306,0.278,"$139,000,000","$134,000,000"
,,,American Samoa,,,,,,,,,,,,,0,1,,,,59117,0.883,,
0.013,,346476,Australia,3,,110814,"$466,663,366,337",0.083,"$2,323",,0.005,,0.084,83,78,0.7,1,0.202,0.671,0.127,19895400,0.877,"$16,647,000,000","$10,135,000,000"
0.024,,862,Fiji,45,,,"$2,315,935,753",0.034,$95,,0.02,0.1,0.076,71,66,0.1,1,0.324,0.638,0.038,817224,0.491,"$496,000,000","$88,000,000"
0.019,,799,French Polynesia,,,,,,,,,0.1,,76,71,0.2,1,0.294,0.659,0.046,248536,0.56,"$651,000,000","$335,000,000"
0.02,,,Guam,,,,,,,,,0.3,,79,74,0.5,1,0.3,0.64,0.06,157823,0.934,,
0.026,,40,Kiribati,21,,,"$90,148,518",0.096,$103,,0.051,0,,69,63,0,1,0.383,0.582,0.035,87371,0.435,,
,,84,Marshall Islands,17,,,"$126,887,585",0.173,$411,,0.033,0,,,,0,1,,,,52115,0.693,"$4,000,000","$300,000"
0.028,,147,"Micronesia, Fed. Sts.",16,,,"$244,990,984",0.095,$218,,0.039,0.1,0.15,68,67,0.1,1,0.393,0.568,0.039,106816,0.223,"$17,000,000","$6,000,000"
0.018,,2750,New Caledonia,,,,,,,,,0.3,,79,72,0.4,1,0.278,0.659,0.063,225735,0.629,"$196,000,000","$128,000,000"
0.014,,33938,New Zealand,12,,16847,"$87,440,435,752",0.079,"$1,602",,0.006,0.6,0.07,81,77,0.6,1,0.221,0.661,0.119,4027200,0.86,"$4,232,000,000","$1,649,000,000"
0.034,,3968,Papua New Guinea,51,,,"$3,536,459,120",0.041,$25,,0.057,0,0.134,62,58,0,1,0.401,0.573,0.026,5803302,0.131,"$4,900,000","$52,000,000"
0.03,,150,Samoa,42,,,"$301,905,953",0.051,$93,,0.017,0,0.113,74,67,0.1,1,0.401,0.552,0.047,177677,0.217,"$54,000,000",
0.035,,180,Solomon Islands,56,,,"$332,736,307",0.06,$45,,0.029,0,0.147,66,63,0,1,0.415,0.556,0.029,446335,0.17,"$1,600,000","$6,400,000"
0.029,,176,Tonga,32,,,"$208,098,552",0.051,$106,,0.014,0,0.113,74,69,0.1,1,0.382,0.559,0.06,99691,0.231,"$10,300,000","$13,200,000"
0.031,,81,Vanuatu,39,,,"$314,463,144",0.037,$58,,0.018,0,0.059,71,67,0,1,0.404,0.564,0.032,198952,0.225,"$83,000,000","$14,000,000"
0.019,,389,Antigua and Barbuda,,,,"$849,234,754",0.044,$457,,0.012,0.2,0.128,77,72,0.6,1,0.288,0.64,0.071,80904,0.305,"$300,000,000","$35,000,000"
0.018,,133127,Argentina,66,,59047,"$156,988,741,752",0.082,$280,,0.017,0.1,0.191,78,71,0.2,1,0.27,0.629,0.101,37970411,0.897,"$2,306,000,000","$2,997,000,000"
0.013,,2255,Aruba,,,,"$2,021,301,676",,,,,0.2,0.115,76,72,0.7,1,0.221,0.698,0.081,97015,0.456,"$858,000,000","$213,000,000"
0.016,,1518,"Bahamas, The",,,,"$6,949,317,000",0.056,"$1,237",,0.013,0.2,0.06,76,70,0.4,1,0.271,0.67,0.059,315624,0.822,"$1,770,000,000","$404,000,000"
0.013,,1269,Barbados,,,,"$3,271,200,000",0.071,$702,,0.015,0.4,0.085,76,71,0.5,1,0.211,0.677,0.112,270844,0.333,"$767,000,000","$153,000,000"
0.028,,374,Belize,,,,"$990,350,000",0.045,$174,,0.019,,0.143,75,68,0.2,1,0.388,0.57,0.042,258346,0.469,"$150,000,000","$50,000,000"
0.013,,510,Bermuda,,,,"$4,186,525,000",,,,,0.6,,81,76,0.6,1,,,,63325,1,"$348,000,000","$248,000,000"
0.03,,14129,Bolivia,60,,3688,"$8,082,396,526",0.056,$50,,0.049,0,0.177,66,62,0.1,1,0.39,0.567,0.043,9016787,0.633,"$243,000,000","$197,000,000"
0.019,,321622,Brazil,152,,198976,"$552,469,288,268",0.07,$214,,0.024,0.1,0.671,75,67,0.3,1,0.283,0.658,0.059,181752951,0.822,"$2,673,000,000","$2,874,000,000"
0.011,,553185,Canada,3,,262038,"$887,751,766,469",0.098,"$2,680",,0.005,0.6,0.047,82,77,0.4,1,0.183,0.689,0.129,31676000,0.8,"$12,236,000,000","$16,309,000,000"
,,480,Cayman Islands,,,,,,,,,,,,,0.5,1,,,,46032,1,"$518,000,000",
0.016,,55078,Chile,27,,25833,"$77,840,186,385",0.071,$338,,0.008,0.3,0.062,81,75,0.5,1,0.261,0.662,0.077,15995658,0.869,"$1,309,000,000","$1,109,000,000"
0.022,,57422,Colombia,60,,25736,"$94,684,582,573",0.059,$134,,0.02,0.1,0.152,76,68,0.1,1,0.316,0.635,0.049,41872051,0.73,"$1,191,000,000","$1,349,000,000"
0.018,,6626,Costa Rica,77,,3297,"$17,517,536,016",0.081,$343,,0.009,0.2,0.256,81,76,0.2,1,0.293,0.65,0.057,4171145,0.631,"$1,424,000,000","$434,000,000"
0.012,,25486,Cuba,,,11662,"$35,901,500,000",0.063,$202,,0.006,0.1,,79,75,0,1,0.204,0.691,0.105,11245926,0.759,"$1,999,000,000",
,,,Curacao,,,,,,,,,,,,,,1,0.225,0.66,0.114,131253,0.908,"$223,000,000","$176,000,000"
,,114,Dominica,,,,"$340,803,913",0.049,$240,,0.013,0.2,0.115,,,0.3,1,,,,70058,0.66,"$52,000,000","$9,000,000"
0.024,,21888,Dominican Republic,77,,7479,"$21,268,012,747",0.065,$143,,0.031,0.1,0.314,74,68,0.2,1,0.338,0.607,0.055,9071318,0.646,"$3,128,000,000","$408,000,000"
0.024,,26523,Ecuador,92,,9712,"$32,432,859,000",0.067,$164,,0.026,0,0.136,77,71,0.2,1,0.334,0.612,0.054,13279806,0.613,"$408,000,000","$500,000,000"
0.022,,6553,El Salvador,115,,4418,"$15,046,700,000",0.073,$182,,0.023,0,,75,66,0.2,1,0.369,0.572,0.059,6029366,0.606,"$664,000,000","$311,000,000"
0.016,,532,Greenland,,,,"$1,426,452,030",,,,,0.5,,71,66,0.5,1,,,,56765,0.823,,
0.019,,216,Grenada,,,,"$596,339,089",0.062,$359,,0.013,0.2,0.12,73,69,0.4,1,0.319,0.603,0.077,102369,0.36,"$104,000,000","$8,000,000"
0.035,,10502,Guatemala,39,,7436,"$21,917,565,500",0.064,$116,,0.036,0,0.15,73,66,0.2,1,0.436,0.522,0.042,12062835,0.463,"$646,000,000","$373,000,000"
0.022,,1566,Guyana,,,,"$741,929,343",0.056,$55,,0.037,,0.15,68,61,0.2,1,0.36,0.599,0.041,753612,0.284,"$28,000,000","$30,000,000"
0.03,,1734,Haiti,202,,2218,"$2,826,481,072",0.053,$17,,0.069,0,0.442,60,57,0,1,0.389,0.57,0.041,8996229,0.406,"$96,000,000","$202,000,000"
0.03,,6769,Honduras,62,,3647,"$8,140,294,080",0.083,$103,,0.028,0,0.208,74,69,0.1,1,0.409,0.55,0.041,6628171,0.472,"$372,000,000","$274,000,000"
0.017,,10722,Jamaica,31,,3728,"$9,430,236,065",0.046,$162,,0.019,0.1,0.189,74,68,0.6,1,0.318,0.606,0.076,2624695,0.524,"$1,621,000,000","$269,000,000"
0.023,,405633,Mexico,58,,153665,"$713,284,260,880",0.058,$397,,0.018,0.1,0.07,78,73,0.3,1,0.33,0.618,0.051,108056312,0.757,"$10,058,000,000","$7,252,000,000"
0.026,,4411,Nicaragua,46,,2758,"$5,322,437,648",0.061,$61,,0.029,0,0.155,74,68,0.1,1,0.391,0.57,0.039,5317878,0.555,"$160,000,000","$139,000,000"
0.023,,6153,Panama,18,,2649,"$12,933,200,000",0.076,$303,,0.02,0.1,0.099,78,73,0.2,1,0.313,0.629,0.058,3240805,0.631,"$804,000,000","$267,000,000"
0.027,,4070,Paraguay,74,,3965,"$6,588,103,836",0.061,$71,,0.025,0,0.5,73,69,0.3,1,0.368,0.586,0.046,5682350,0.569,"$81,000,000","$115,000,000"
0.023,,26380,Peru,98,,11638,"$57,840,001,637",0.045,$102,,0.025,0.1,0.21,74,69,0.1,1,0.328,0.62,0.052,27073334,0.742,"$1,023,000,000","$847,000,000"
0.013,,,Puerto Rico,7,,,"$75,833,996,000",,,,,0.2,,82,74,0.5,1,0.227,0.654,0.118,3826095,0.942,"$2,677,000,000","$1,420,000,000"
,,,Sint Maarten (Dutch part),,,,,,,,,,,,,,1,,,,33791,1,"$538,000,000","$144,000,000"
,,220,St. Kitts and Nevis,,,,"$461,576,906",0.037,$359,,0.012,0.2,0.122,,,0.5,1,,,,47679,0.323,"$75,000,000","$8,000,000"
0.018,,359,St. Lucia,,,,"$781,338,353",0.062,$299,,0.015,0.2,0.15,74,70,0.6,1,0.3,0.628,0.072,161766,0.252,"$282,000,000","$36,000,000"
0.017,,,St. Martin (French part),,,,,,,,,,,81,74,,1,,,,27363,,,
0.019,,194,St. Vincent and the Grenadines,,,,"$482,397,041",0.039,$174,,0.019,0.1,0.118,73,69,0.6,1,0.296,0.632,0.072,108353,0.463,"$91,000,000","$13,000,000"
0.021,,2241,Suriname,,,,"$1,271,196,078",0.066,$173,,0.028,0,0.21,72,65,0.3,1,0.301,0.639,0.059,486867,0.667,"$18,000,000","$68,000,000"
0.015,,27697,Trinidad and Tobago,,,13541,"$11,235,960,523",0.051,$449,,0.025,0.3,0.112,73,65,0.3,1,0.23,0.701,0.069,1283868,0.102,"$437,000,000","$143,000,000"
,,103,Turks and Caicos Islands,,,,,,,,,,,,,,1,,,,23412,0.866,,
0.014,,5681664,United States,6,,2261151,"$11,512,200,000,000",0.156,"$5,993",,0.007,0.6,0.041,80,75,0.5,1,0.209,0.669,0.123,290107933,0.796,"$101,535,000,000","$82,091,000,000"
0.016,,4598,Uruguay,45,,2523,"$12,045,627,411",0.097,$351,,0.013,0.2,0.589,79,72,0.2,1,0.242,0.625,0.134,3325411,0.928,"$419,000,000","$236,000,000"
0.023,,192103,"Venezuela, RB",141,,52881,"$83,622,191,419",0.059,$190,,0.017,0.1,0.252,76,70,0.3,1,0.322,0.63,0.048,25797219,0.885,"$378,000,000","$1,311,000,000"
0.014,,,Virgin Islands (U.S.),,,,,,,,,0.3,,81,75,0.5,1,0.238,0.666,0.096,108085,0.933,"$1,257,000,000",
0.02,,89493,Algeria,25,,30974,"$85,324,997,370",0.035,$90,,0.03,0,0.08,71,68,0.1,1,0.297,0.66,0.043,33461345,0.631,"$178,000,000","$341,000,000"
0.05,,18793,Angola,119,,9676,"$19,640,862,550",0.051,$63,,0.123,0,0.823,49,47,0,1,0.477,0.498,0.025,15976715,0.354,"$82,000,000","$86,000,000"
0.041,,2512,Benin,31,,2491,"$4,050,869,968",0.046,$23,,0.078,0,,58,55,0.1,1,0.447,0.525,0.028,7922796,0.396,"$121,000,000","$59,000,000"
0.026,,4378,Botswana,107,,1857,"$8,957,491,785",0.049,$268,,0.046,0,0.158,48,47,0.3,1,0.362,0.607,0.032,1854739,0.548,"$582,000,000","$280,000,000"
0.045,,1104,Burkina Faso,40,,,"$4,838,551,014",0.061,$24,,0.089,0,,53,51,0,1,0.466,0.508,0.026,13034258,0.208,"$52,000,000","$67,000,000"
0.043,,198,Burundi,13,,,"$915,257,323",0.097,$9,,0.079,0,0.183,51,48,0,1,0.461,0.512,0.028,7510771,0.091,"$1,800,000","$29,000,000"
0.041,,3957,Cameroon,45,,6959,"$15,775,356,737",0.046,$41,,0.081,0,0.18,53,51,0.1,1,0.445,0.522,0.033,17674960,0.479,"$212,000,000","$394,000,000"
0.038,,213,Central African Republic,22,,,"$1,270,080,228",0.041,$14,,0.111,0,0.18,46,43,0,1,0.42,0.54,0.04,3893595,0.38,"$7,800,000","$32,000,000"
0.05,,378,Chad,64,,,"$4,414,929,142",0.051,$23,,0.102,0,0.18,48,47,0,1,0.492,0.481,0.027,9665024,0.218,,
0.039,,103,Comoros,,,34,"$362,420,484",0.04,$25,,0.071,0,0.11,60,57,0,1,0.414,0.556,0.03,585389,0.279,"$21,000,000","$9,000,000"
0.046,,1936,"Congo, Dem. Rep.",133,,19231,"$10,297,481,118",0.054,$7,,0.108,0,,49,46,0,1,0.463,0.509,0.028,52487293,0.37,,
0.039,,1181,"Congo, Rep.",37,,1020,"$4,648,628,839",0.026,$34,,0.066,0,0.18,55,52,0.1,1,0.422,0.543,0.035,3448868,0.605,"$23,100,000","$176,000,000"
0.037,,7664,Cote d'Ivoire,58,,9302,"$15,481,092,596",0.056,$50,,0.091,0,,48,46,0.1,1,0.423,0.548,0.029,17144325,0.462,"$91,000,000","$571,000,000"
0.029,,458,Djibouti,,,133,"$666,072,102",0.068,$57,,0.073,0,0.112,59,56,0,1,0.381,0.586,0.033,765776,0.767,"$6,800,000","$14,000,000"
0.024,,150912,"Egypt, Arab Rep.",37,,53536,"$78,845,185,709",0.053,$57,,0.027,0.1,0.134,72,67,0.1,1,0.33,0.616,0.054,70591288,0.43,"$6,328,000,000","$1,543,000,000"
0.038,,5218,Equatorial Guinea,,,762,"$4,410,764,261",0.021,$191,,0.089,0,0.18,50,47,0.1,1,0.41,0.557,0.033,585983,0.388,,
0.04,,770,Eritrea,91,,744,"$1,109,054,002",0.029,$7,,0.049,,,60,56,0,1,0.44,0.541,0.019,4665522,0.186,"$73,000,000",
0.04,,5244,Ethiopia,34,,28377,"$9,945,571,030",0.043,$6,,0.074,0,0.07,56,55,0,1,0.464,0.505,0.031,74066147,0.155,"$458,000,000","$59,000,000"
0.033,,1767,Gabon,,,1629,"$7,178,135,606",0.034,$180,,0.052,0,0.18,61,59,0.4,1,0.397,0.546,0.057,1347125,0.828,"$74,000,000","$275,000,000"
0.044,,323,"Gambia, The",,,108,"$578,785,601",0.044,$18,,0.058,0,0.365,58,55,0.1,1,0.46,0.515,0.026,1391934,0.515,"$51,000,000","$6,000,000"
0.034,,7349,Ghana,22,,8267,"$8,881,419,348",0.061,$26,,0.059,0,,59,57,0.1,1,0.404,0.562,0.033,20835514,0.466,"$495,000,000","$270,000,000"
0.04,,1342,Guinea,40,,,"$3,666,349,049",0.053,$20,,0.088,0,,52,52,0,1,0.437,0.53,0.033,9379621,0.324,,"$29,000,000"
0.04,,202,Guinea-Bissau,,,86,"$522,651,788",0.053,$20,,0.099,0,,53,51,0,1,0.43,0.54,0.029,1390791,0.4,"$2,200,000","$22,300,000"
0.039,,7624,Kenya,47,,15552,"$16,095,321,631",0.043,$20,,0.063,0,0.125,55,53,0.1,1,0.429,0.543,0.027,34834606,0.213,"$799,000,000","$108,000,000"
0.029,,,Lesotho,93,,28,"$1,234,197,704",0.07,$45,,0.084,0,0.124,44,43,0.1,1,0.4,0.553,0.046,1912022,0.217,"$26,000,000","$278,000,000"
0.041,,627,Liberia,,,,"$467,000,000",0.088,$13,,0.09,0,0.181,55,53,0,1,0.433,0.537,0.03,3184643,0.457,"$59,000,000","$29,000,000"
0.023,,50359,Libya,,,17796,"$33,384,615,385",0.035,$205,,0.021,0,0.061,75,72,0.1,1,0.31,0.648,0.042,5507000,0.768,"$261,000,000","$789,000,000"
0.038,,1808,Madagascar,44,,,"$4,363,934,417",0.049,$12,,0.058,0,0.255,62,59,0,1,0.45,0.52,0.029,17763367,0.282,"$239,000,000","$108,000,000"
0.043,,975,Malawi,39,,,"$2,625,127,098",0.078,$16,,0.078,0,0.368,48,48,0,1,0.461,0.508,0.03,12569091,0.15,"$74,000,000","$70,000,000"
0.048,,565,Mali,41,,,"$4,874,178,417",0.063,$27,,0.101,0,,51,51,0,1,0.462,0.506,0.031,11572936,0.313,"$142,000,000","$125,000,000"
0.037,,1632,Mauritania,82,,,"$1,833,445,283",0.059,$28,,0.075,0,0.21,62,59,0.2,1,0.418,0.551,0.032,3055425,0.524,,
0.016,,3194,Mauritius,46,,1019,"$6,385,691,315",0.042,$227,,0.014,0.1,0.21,76,69,0.5,1,0.246,0.689,0.065,1233386,0.418,"$1,156,000,000","$277,000,000"
0.02,,43311,Morocco,12,,12221,"$56,948,015,336",0.052,$99,,0.037,0.1,0.115,71,67,0.3,1,0.314,0.636,0.049,29855820,0.546,"$4,540,000,000","$912,000,000"
0.044,,1922,Mozambique,153,,8375,"$5,697,991,241",0.059,$16,,0.095,0,0.221,49,46,0,1,0.446,0.522,0.032,20438827,0.298,"$96,000,000","$140,000,000"
0.03,,1962,Namibia,85,,1163,"$6,606,866,450",0.065,$213,,0.048,0,0.114,57,53,0.1,1,0.4,0.567,0.033,2003320,0.357,"$426,000,000","$123,000,000"
0.052,,964,Niger,35,,,"$3,052,898,686",0.071,$16,,0.086,0,,53,53,0,1,0.488,0.487,0.025,12708897,0.166,"$32,000,000","$42,000,000"
0.043,,97047,Nigeria,36,,101751,"$87,845,403,978",0.07,$45,,0.1,0,0.192,49,48,0.1,1,0.435,0.538,0.027,135999250,0.382,"$49,000,000",
0.039,,689,Rwanda,18,,,"$2,089,188,921",0.058,$13,,0.075,0,0.165,55,52,0,1,0.446,0.528,0.026,9254379,0.184,"$44,000,000","$31,000,000"
0.038,,73,Sao Tome and Principe,192,,38,"$110,723,362",0.11,$79,,0.05,0.1,0.298,66,62,0.1,1,0.422,0.537,0.04,150842,0.571,"$7,700,000","$2,100,000"
0.039,,5280,Senegal,59,,2736,"$8,031,344,240",0.057,$42,,0.059,0,,62,58,0.1,1,0.443,0.526,0.032,10967568,0.409,"$286,000,000","$138,000,000"
0.017,,744,Seychelles,,,256,"$839,319,935",0.043,$421,,0.012,0.2,0.1,76,69,0.6,1,0.25,0.673,0.076,82500,0.508,"$256,000,000","$53,000,000"
0.042,,642,Sierra Leone,26,,,"$1,431,208,677",0.154,$45,,0.13,0,0.221,42,41,,1,0.427,0.549,0.024,4928175,0.366,"$58,000,000","$30,000,000"
0.047,,576,Somalia,,,,,,,,0.105,0,,54,51,0.1,1,0.477,0.494,0.029,8249965,0.348,,
0.023,,427132,South Africa,38,,128722,"$219,092,936,699",0.089,$410,,0.052,0.1,0.113,53,51,0.4,1,0.312,0.647,0.042,47019452,0.59,"$7,571,000,000","$4,237,000,000"
0.04,,,South Sudan,,,,,,,,0.091,,,52,50,,1,0.442,0.526,0.032,7730180,0.17,,
0.038,,11382,Sudan,39,,14769,"$21,457,886,199",0.041,$29,,0.063,0,,61,58,0,1,0.433,0.536,0.03,30778572,0.327,"$21,000,000","$176,000,000"
0.032,,1030,Swaziland,,,406,"$2,420,610,579",0.059,$130,,0.082,0,0.113,46,46,0.1,1,0.424,0.545,0.031,1094758,0.222,"$75,000,000","$54,000,000"
0.042,,4353,Tanzania,28,,16198,"$12,825,801,917",0.034,$12,,0.061,0,0.141,53,52,0.1,1,0.446,0.524,0.03,37765139,0.242,"$762,000,000","$470,000,000"
0.038,,1397,Togo,65,,2327,"$1,937,074,538",0.059,$21,,0.07,0,,55,53,0.1,1,0.431,0.541,0.028,5397851,0.347,"$25,000,000","$38,000,000"
0.017,,22446,Tunisia,11,,8463,"$31,183,139,301",0.056,$179,,0.021,0.1,,75,71,0.4,1,0.265,0.669,0.066,9932400,0.649,"$2,432,000,000","$427,000,000"
0.047,,1852,Uganda,34,,,"$7,940,362,663",0.079,$24,,0.073,0,0.206,52,52,0,1,0.494,0.481,0.025,27766986,0.128,"$268,000,000","$158,000,000"
0.044,,2131,Zambia,35,,7005,"$5,439,176,376",0.067,$33,,0.081,0,0.307,46,45,0,1,0.466,0.507,0.027,11174650,0.362,"$92,000,000","$86,000,000"
0.032,,9927,Zimbabwe,97,,9269,"$5,805,598,443",,,,0.058,0.1,2.789,43,44,0,1,0.415,0.549,0.036,12693047,0.343,"$194,000,000",
0.046,,733,Afghanistan,9,,,"$5,285,461,999",0.098,$19,,0.086,0,,58,55,0,1,0.494,0.486,0.02,24018682,0.226,,
0.014,,3645,Armenia,18,,2095,"$3,576,615,240",0.055,$65,,0.022,0,0.186,76,70,0.1,1,0.225,0.66,0.115,3025652,0.642,"$188,000,000","$216,000,000"
0.016,,32090,Azerbaijan,121,,12786,"$8,680,511,918",0.079,$81,,0.047,,0.157,71,66,0.2,1,0.27,0.667,0.064,8306500,0.522,"$79,000,000","$140,000,000"
0.024,,39750,Bangladesh,50,,22554,"$56,560,744,012",0.031,$12,,0.053,0,0.148,68,67,0,1,0.348,0.609,0.042,141235035,0.261,"$76,000,000","$442,000,000"
0.024,,308,Bhutan,62,,180,"$702,682,018",0.044,$49,,0.048,0,0.15,63,63,0,1,0.352,0.608,0.04,633893,0.298,"$13,000,000",
0.02,,5361,Brunei Darussalam,,,2296,"$7,872,333,197",0.03,$658,,0.008,0.3,0.055,79,75,0.6,1,0.292,0.677,0.031,360797,0.731,"$181,000,000","$382,000,000"
0.026,,2446,Cambodia,94,,3389,"$5,337,833,256",0.071,$29,,0.057,0,,69,63,0.1,1,0.37,0.588,0.043,13149386,0.191,"$673,000,000","$80,000,000"
0.012,,5288166,China,48,,1639854,"$1,931,644,329,934",0.047,$70,,0.022,0.1,0.056,75,73,0.3,1,0.214,0.711,0.075,1296075000,0.411,"$27,755,000,000","$21,360,000,000"
0.012,,4323,Georgia,25,,2781,"$5,125,273,877",0.085,$97,,0.024,0,0.221,76,69,0.2,1,0.19,0.667,0.143,4318300,0.524,"$209,000,000","$196,000,000"
0.007,,38415,"Hong Kong SAR, China",11,,12808,"$169,099,768,875",,,,,0.6,0.05,85,79,1.2,1,0.148,0.732,0.119,6783500,1,"$11,874,000,000","$13,270,000,000"
0.024,,1348525,India,89,,519165,"$721,585,608,184",0.045,$29,,0.058,0,0.109,65,62,0,1,0.326,0.627,0.046,1110626108,0.289,"$6,307,000,000","$5,783,000,000"
0.021,,337635,Indonesia,151,,176238,"$256,836,883,305",0.024,$27,,0.035,0,0.141,71,67,0.1,1,0.3,0.651,0.048,221293797,0.451,"$5,226,000,000","$4,569,000,000"
0.009,,1259655,Japan,31,,522488,"$4,655,803,055,651",0.08,"$2,914",,0.003,0.6,0.018,86,79,0.7,1,0.139,0.668,0.193,127761000,0.846,"$14,343,000,000","$48,175,000,000"
0.018,,172158,Kazakhstan,26,,50717,"$43,151,647,003",0.04,$114,,0.03,0,,72,60,0.2,1,0.251,0.674,0.076,15012985,0.549,"$803,000,000","$997,000,000"
0.016,,79482,"Korea, Dem. Rep.",,,20494,,,,,0.028,,,72,64,,1,0.25,0.678,0.071,23639303,0.597,,
0.01,,482277,"Korea, Rep.",17,,208284,"$764,880,644,711",0.052,$784,,0.005,0.7,0.059,81,75,0.8,1,0.196,0.716,0.089,48039415,0.81,"$8,226,000,000","$13,507,000,000"
0.022,,5699,Kyrgyz Republic,21,,2542,"$2,211,535,312",0.056,$25,,0.036,0.1,0.293,72,64,0.1,1,0.319,0.624,0.057,5104700,0.353,"$92,000,000","$73,000,000"
0.028,,1423,Lao PDR,153,,,"$2,366,398,120",0.046,$19,,0.073,0,0.293,65,63,0,1,0.411,0.552,0.037,5699112,0.262,"$122,000,000","$8,000,000"
0.008,,1727,"Macao SAR, China",,,,"$10,258,324,479",,,,,0.3,0.06,81,76,0.9,1,0.185,0.742,0.074,458542,1,"$7,431,000,000","$529,000,000"
0.019,,167333,Malaysia,37,,58691,"$124,749,736,842",0.037,$181,,0.007,0.4,0.06,76,71,0.6,1,0.308,0.649,0.043,25365089,0.657,"$9,183,000,000","$3,822,000,000"
0.021,,777,Maldives,9,,250,"$1,075,605,492",0.059,$217,,0.022,0.1,0.13,75,72,0.4,1,0.356,0.599,0.044,292505,0.325,"$471,000,000","$75,000,000"
0.02,,8551,Mongolia,13,,2600,"$1,992,066,759",0.07,$56,,0.039,,0.315,69,61,0.2,1,0.299,0.664,0.037,2496248,0.614,"$205,000,000","$207,000,000"
0.019,,12435,Myanmar,,,14764,,0.023,$5,,0.052,0,0.15,65,61,0,1,0.286,0.666,0.049,49875169,0.285,"$97,000,000","$32,000,000"
0.029,,2769,Nepal,31,,8832,"$7,273,933,993",0.058,$17,,0.049,0,0.085,65,63,0,1,0.397,0.56,0.043,24921910,0.149,"$260,000,000","$205,000,000"
0.028,,131601,Pakistan,24,,73580,"$97,977,766,198",0.028,$18,,0.082,0.1,0.073,66,64,0,1,0.388,0.571,0.041,155151394,0.344,"$765,000,000","$1,612,000,000"
0.028,,74066,Philippines,49,,38643,"$91,371,236,939",0.032,$35,,0.028,0.1,0.101,71,64,0.4,1,0.374,0.592,0.034,84231329,0.469,"$2,390,000,000","$1,526,000,000"
0.01,,28474,Singapore,8,,30845,"$114,186,643,422",0.032,$826,,0.002,0.6,0.053,82,77,0.9,1,0.196,0.723,0.081,4166700,1,"$5,327,000,000","$9,291,000,000"
0.019,,11965,Sri Lanka,48,,8798,"$20,662,525,941",0.042,$44,,0.012,0,0.095,77,70,0.1,1,0.256,0.675,0.069,19435000,0.184,"$808,000,000","$499,000,000"
0.029,,2563,Tajikistan,,,2346,"$2,076,148,710",0.043,$13,,0.058,0,0.203,69,62,0,1,0.392,0.57,0.037,6663929,0.264,"$9,600,000","$3,400,000"
0.013,,252345,Thailand,33,,96291,"$161,339,790,595",0.035,$87,,0.016,0.1,0.055,76,69,0.4,1,0.228,0.697,0.075,65087400,0.363,"$13,054,000,000","$5,343,000,000"
0.038,,176,Timor-Leste,158,,58,"$455,500,000",0.086,$27,,0.069,,0.155,64,61,0,1,0.484,0.489,0.027,966987,0.257,,
0.023,,43337,Turkmenistan,,,18406,"$6,838,351,088",0.037,$111,,0.06,0,,68,60,0,1,0.334,0.62,0.046,4696876,0.468,,
0.021,,119306,Uzbekistan,29,,50678,"$12,030,023,548",0.051,$24,,0.048,0,,71,64,0,1,0.341,0.613,0.047,25864350,0.368,"$57,000,000",
0.017,,90549,Vietnam,51,,38968,"$49,424,107,710",0.055,$30,,0.024,0.1,0.097,79,70,0.1,1,0.28,0.654,0.066,81437700,0.267,"$1,700,000,000",
0.015,,4166,Albania,41,,2172,"$7,464,446,950",0.065,$148,,0.019,0,0.118,79,73,0.4,1,0.273,0.645,0.082,3014579,0.457,"$756,000,000","$669,000,000"
0.011,,565,Andorra,,,,"$2,322,163,502",0.057,"$2,193",,0.003,0.3,,,,0.7,1,,,,79060,0.908,,
0.01,,71866,Austria,25,,32690,"$291,430,382,497",0.104,"$3,720",,0.004,0.5,,82,76,1,1,0.163,0.679,0.158,8171966,0.658,"$17,251,000,000","$10,812,000,000"
0.009,,58038,Belarus,79,,26888,"$23,141,587,718",0.066,$157,,0.008,,0.169,75,63,0.2,1,0.16,0.694,0.146,9730000,0.719,"$362,000,000","$500,000,000"
0.011,,111282,Belgium,34,,58895,"$361,683,211,960",0.1,"$3,482",,0.004,0.5,0.067,82,76,0.9,1,0.172,0.656,0.173,10421137,0.973,"$10,089,000,000","$15,456,000,000"
